,batting_team,bowling_team,inning,ovr,batsman_name,non_striker_name,bowler_name,player_out_how,player_out_name,dismissal_method,ball_speed,runs_w_extras,runs_batter,extras_type,bat_right_handed,landed_y,landed_x,ended_x,ended_y,hit_x,hit_y,batsman_nat,non_striker_nat,bowler_nat,match_id,ground,date,batsman_age,non_striker_age,bowler_age,dummy_ball,dot_ball,single,double,triple,four,six,wicket,bowler_wicket,target,cumul_runs,cumul_balls,cumul_wickets
0,RCB,KXIP,1,1.1,Chris Gayle,Parthiv Patel,Glenn Maxwell,,,,89.19991071416,4,4,,False,2.8489999999999998,-0.174,-0.344,0.37799999999999995,64.0,7.0,West Indian,Indian,Australian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,25.553424657534247,1,False,False,False,False,True,False,0,False,,4.0,1.0,0.0
1,RCB,KXIP,1,1.2,Chris Gayle,Parthiv Patel,Glenn Maxwell,,,,91.90196757416,0,0,,False,5.145,-0.107,-0.076,0.649,55.0,40.0,West Indian,Indian,Australian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,25.553424657534247,1,True,False,False,False,False,False,0,False,,4.0,2.0,0.0
2,RCB,KXIP,1,1.3,Chris Gayle,Parthiv Patel,Glenn Maxwell,,,,89.2647600788,4,4,,False,3.3689999999999998,-0.066,-0.102,0.598,94.0,38.0,West Indian,Indian,Australian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,25.553424657534247,1,False,False,False,False,True,False,0,False,,8.0,3.0,0.0
3,RCB,KXIP,1,1.4,Chris Gayle,Parthiv Patel,Glenn Maxwell,,,,87.33369010952,0,0,,False,4.303,-0.003,0.04,0.6940000000000001,,,West Indian,Indian,Australian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,25.553424657534247,1,True,False,False,False,False,False,0,False,,8.0,4.0,0.0
4,RCB,KXIP,1,1.5,Chris Gayle,Parthiv Patel,Glenn Maxwell,,,,93.12690001735999,6,6,,False,4.303,-0.128,-0.364,0.9159999999999999,63.0,93.0,West Indian,Indian,Australian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,25.553424657534247,1,False,False,False,False,False,True,0,False,,14.0,5.0,0.0
5,RCB,KXIP,1,1.6,Chris Gayle,Parthiv Patel,Glenn Maxwell,,,,,6,6,,False,,,,,41.0,93.0,West Indian,Indian,Australian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,25.553424657534247,1,False,False,False,False,False,True,0,False,,20.0,6.0,0.0
6,RCB,KXIP,1,2.1,Parthiv Patel,Chris Gayle,Sandeep Sharma,,,,126.05956902704001,1,1,,False,7.5889999999999995,0.309,0.09300000000000001,0.688,17.0,36.0,Indian,West Indian,Indian,18,Dubai International Stadium,2014-04-28 00:00:00,29.156164383561645,34.62465753424657,20.958904109589042,1,False,True,False,False,False,False,0,False,,21.0,7.0,0.0
7,RCB,KXIP,1,2.2,Chris Gayle,Parthiv Patel,Sandeep Sharma,b Sandeep Sharma,Chris Gayle,bowled,129.85685960095998,0,0,,False,6.212000000000001,0.149,-0.099,0.517,,,West Indian,Indian,Indian,18,Dubai International Stadium,2014-04-28 00:00:00,34.62465753424657,29.156164383561645,20.958904109589042,1,True,False,False,False,False,False,1,True,,21.0,8.0,1.0
8,RCB,KXIP,1,2.3,Virat Kohli,Parthiv Patel,Sandeep Sharma,,,,129.22998240944,4,4,,True,8.31,-0.836,-0.863,0.795,7.0,38.0,Indian,Indian,Indian,18,Dubai International Stadium,2014-04-28 00:00:00,25.493150684931507,29.156164383561645,20.958904109589042,1,False,False,False,False,True,False,0,False,,25.0,9.0,1.0
9,RCB,KXIP,1,2.4,Virat Kohli,Parthiv Patel,Sandeep Sharma,lbw Sandeep Sharma,Virat Kohli,lbw,141.88641674168,0,0,,True,5.268,-0.09,0.16699999999999998,0.489,,,Indian,Indian,Indian,18,Dubai International Stadium,2014-04-28 00:00:00,25.493150684931507,29.156164383561645,20.958904109589042,1,True,False,False,False,False,False,1,True,,25.0,10.0,2.0
